iter, train_loss, val_loss, lr, mfu
20, 4.0053, nan, 0.000120, 0.71
40, 3.8955, nan, 0.000240, 0.70
60, 3.7276, nan, 0.000360, 0.70
80, 3.5322, nan, 0.000480, 0.68
100, 3.3585, nan, 0.000600, 0.68
120, 3.2189, nan, 0.000600, 0.68
140, 3.0816, nan, 0.000600, 0.68
160, 2.9710, nan, 0.000600, 0.68
180, 2.9263, nan, 0.000600, 0.69
200, 2.8327, nan, 0.000599, 0.69
220, 2.7818, nan, 0.000599, 0.69
240, 2.7333, nan, 0.000599, 0.69
260, 2.7312, nan, 0.000599, 0.70
280, 2.6590, nan, 0.000598, 0.70
300, 2.6614, nan, 0.000598, 0.70
320, 2.6049, nan, 0.000597, 0.70
340, 2.5495, nan, 0.000597, 0.70
360, 2.5587, nan, 0.000596, 0.70
380, 2.5355, nan, 0.000596, 0.71
400, 2.5180, nan, 0.000595, 0.71
420, 2.5591, nan, 0.000594, 0.71
440, 2.5279, nan, 0.000594, 0.71
460, 2.5138, nan, 0.000593, 0.72
480, 2.5119, nan, 0.000592, 0.72
500, 2.5253, nan, 0.000591, 0.72
520, 2.4702, nan, 0.000590, 0.72
540, 2.4875, nan, 0.000589, 0.72
560, 2.5178, nan, 0.000588, 0.71
580, 2.5240, nan, 0.000587, 0.71
600, 2.4925, nan, 0.000586, 0.72
620, 2.4837, nan, 0.000585, 0.72
640, 2.5033, nan, 0.000584, 0.72
660, 2.4668, nan, 0.000583, 0.72
680, 2.4561, nan, 0.000582, 0.72
700, 2.4717, nan, 0.000580, 0.70
720, 2.4536, nan, 0.000579, 0.71
740, 2.4778, nan, 0.000578, 0.69
760, 2.4652, nan, 0.000576, 0.69
780, 2.5096, nan, 0.000575, 0.68
800, 2.4406, nan, 0.000573, 0.68
820, 2.4503, nan, 0.000572, 0.66
840, 2.4493, nan, 0.000570, 0.67
860, 2.4519, nan, 0.000569, 0.66
880, 2.3613, nan, 0.000567, 0.67
900, 2.4443, nan, 0.000565, 0.67
920, 2.4031, nan, 0.000564, 0.67
940, 2.4469, nan, 0.000562, 0.67
960, 2.4389, nan, 0.000560, 0.68
980, 2.4099, nan, 0.000558, 0.68
1000, 2.3819, 2.3952e+00, 0.000556, 0.68
1000, 2.4188, nan, 0.000556, 0.67
1020, 2.4324, nan, 0.000554, 0.67
1040, 2.4112, nan, 0.000552, 0.67
1060, 2.4136, nan, 0.000550, 0.67
1080, 2.3734, nan, 0.000548, 0.68
1100, 2.4118, nan, 0.000546, 0.68
1120, 2.3800, nan, 0.000544, 0.69
1140, 2.3972, nan, 0.000542, 0.69
1160, 2.3981, nan, 0.000540, 0.69
1180, 2.4187, nan, 0.000538, 0.69
1200, 2.3852, nan, 0.000536, 0.70
1220, 2.3548, nan, 0.000533, 0.70
1240, 2.3838, nan, 0.000531, 0.70
1260, 2.3850, nan, 0.000529, 0.70
1280, 2.4086, nan, 0.000526, 0.71
1300, 2.3474, nan, 0.000524, 0.71
1320, 2.3744, nan, 0.000522, 0.70
1340, 2.3303, nan, 0.000519, 0.70
1360, 2.4041, nan, 0.000517, 0.68
1380, 2.4199, nan, 0.000514, 0.69
1400, 2.3824, nan, 0.000512, 0.67
1420, 2.3674, nan, 0.000509, 0.68
1440, 2.3490, nan, 0.000506, 0.67
1460, 2.3460, nan, 0.000504, 0.67
1480, 2.3189, nan, 0.000501, 0.65
1500, 2.4194, nan, 0.000498, 0.65
